 ,Value
1,1692.400
2,1690.100
3,1710.900
4,1708.200
5,1687.500
6,1660.000
7,1704.300
8,1723.000
9,1720.200
10,1737.000
11,1702.500
12,1697.700
13,1725.800
14,1732.400
15,1723.100
16,1717.400
17,1719.400
18,1736.500
19,1733.200
20,1729.400
21,1727.000
22,1731.800
23,1771.100
24,1728.900
25,1742.300
26,1757.700
27,1716.700
28,1748.900
29,1736.500
30,1730.000
31,1749.800
32,1738.100
33,1741.100
34,1736.500
35,1726.000
36,1708.100
37,1712.000
38,1679.000
39,1614.800
40,1635.000
41,1578.600
42,1532.900
43,1524.200
44,1492.000
45,1449.500
46,1404.700
47,1377.300
48,1373.700
49,1354.300
50,1346.900
51,1359.100
52,1340.900
53,1336.200
54,1325.500
55,1323.700
56,1324.900
57,1322.000
58,1323.200
59,1322.300
60,1305.200
61,1315.300
62,1337.800
63,1343.900
64,1338.600
65,1355.800
66,1385.200
67,1413.300
68,1446.300
69,1488.100
70,1494.300
71,1551.200
72,1588.100
73,1598.400
74,1661.100
75,1664.100
76,1683.300
77,1685.800
78,1729.900
79,1719.900
80,1702.600
81,1723.200
82,1719.100
83,1715.000
84,1714.400
85,1707.200
86,1744.900
87,1723.100
88,1714.200
89,1717.500
90,1691.200
91,1715.900
92,1719.700
93,1715.600
94,1699.400
95,1705.400
96,1702.600
97,1714.000
98,1718.000
99,1702.100
100,1684.300
101,1678.300
102,1689.700
103,1696.200
104,1678.900
105,1674.100
106,1665.500
107,1672.600
108,1687.500
109,1679.600
110,1674.400
111,1673.700
112,1670.900
113,1654.800
114,1663.500
115,1674.600
116,1650.800
117,1652.400
118,1655.300
119,1654.000
120,1659.800
