Slice,Distance (mm),Mean Test Object Distance (mm)
1,,
2,,
3,,
4,,
5,134.612,120.267
6,119.627,119.768
7,104.203,120.263
8,90.209,119.812
9,75.091,119.935
10,60.553,120.021
11,45.567,119.873
12,30.653,119.874
13,16.776,119.827
14,7.931,119.658
15,17.000,120.017
16,30.083,119.969
17,45.929,120.017
18,59.971,120.760
19,75.538,119.917
20,90.586,120.019
21,105.973,119.769
22,119.419,119.893
23,134.016,119.890
24,,
25,,
26,,
27,,
