 ,Value
1,1666.400
2,1668.000
3,1644.300
4,1638.600
5,1657.800
6,1648.100
7,1640.400
8,1642.100
9,1643.000
10,1654.000
11,1668.300
12,1662.200
13,1643.700
14,1637.100
15,1628.100
16,1633.400
17,1652.000
18,1669.700
19,1665.900
20,1668.900
21,1688.700
22,1682.400
23,1661.500
24,1655.400
25,1674.400
26,1652.800
27,1642.500
28,1686.700
29,1679.500
30,1678.900
31,1674.400
32,1667.400
33,1683.300
34,1684.400
35,1667.000
36,1662.100
37,1663.300
38,1668.500
39,1663.700
40,1678.400
41,1692.100
42,1676.200
43,1670.900
44,1638.800
45,1623.900
46,1578.600
47,1551.800
48,1520.200
49,1510.300
50,1457.800
51,1422.500
52,1419.800
53,1361.100
54,1321.100
55,1311.200
56,1321.500
57,1296.100
58,1278.200
59,1282.400
60,1246.800
61,1249.300
62,1277.500
63,1274.500
64,1283.700
65,1281.300
66,1273.500
67,1266.200
68,1307.300
69,1286.700
70,1310.500
71,1367.400
72,1369.500
73,1382.200
74,1442.600
75,1447.600
76,1511.300
77,1536.700
78,1546.300
79,1586.200
80,1598.400
81,1644.800
82,1668.300
83,1680.400
84,1674.500
85,1682.700
86,1669.100
87,1668.000
88,1673.200
89,1662.200
90,1697.600
91,1699.200
92,1677.700
93,1690.100
94,1682.400
95,1697.500
96,1697.100
97,1682.200
98,1665.800
99,1676.000
100,1703.500
101,1696.700
102,1681.300
103,1697.700
104,1678.600
105,1684.400
106,1680.700
107,1678.300
108,1690.100
109,1691.900
110,1677.300
111,1672.100
112,1672.100
113,1659.200
114,1666.900
115,1671.000
116,1689.500
117,1700.300
118,1694.300
119,1683.700
120,1668.900
