 ,Value
1,1692.500
2,1695.200
3,1719.100
4,1705.900
5,1725.000
6,1685.700
7,1724.000
8,1714.700
9,1704.100
10,1718.400
11,1713.800
12,1713.000
13,1741.700
14,1720.000
15,1741.200
16,1730.800
17,1713.100
18,1728.800
19,1755.000
20,1768.200
21,1767.100
22,1767.700
23,1773.900
24,1752.400
25,1745.600
26,1765.700
27,1770.400
28,1768.700
29,1778.400
30,1772.900
31,1764.800
32,1788.500
33,1788.600
34,1774.200
35,1791.900
36,1778.800
37,1767.900
38,1801.900
39,1768.100
40,1782.700
41,1781.200
42,1792.500
43,1798.800
44,1781.000
45,1792.300
46,1780.200
47,1776.400
48,1778.400
49,1756.800
50,1751.900
51,1745.000
52,1700.900
53,1679.900
54,1636.300
55,1594.700
56,1556.200
57,1484.200
58,1491.700
59,1435.900
60,1415.700
61,1429.500
62,1387.000
63,1360.900
64,1365.500
65,1355.100
66,1359.300
67,1358.000
68,1366.400
69,1349.500
70,1381.600
71,1375.000
72,1363.800
73,1370.700
74,1379.400
75,1396.300
76,1428.100
77,1440.100
78,1464.300
79,1471.200
80,1525.400
81,1567.500
82,1624.800
83,1654.200
84,1698.100
85,1685.000
86,1716.500
87,1749.600
88,1754.200
89,1757.000
90,1799.300
91,1806.200
92,1779.100
93,1777.000
94,1792.600
95,1785.100
96,1787.900
97,1785.900
98,1771.200
99,1777.100
100,1783.700
101,1779.800
102,1768.600
103,1787.500
104,1776.400
105,1776.800
106,1779.900
107,1755.800
108,1746.600
109,1753.700
110,1768.500
111,1788.000
112,1784.500
113,1769.200
114,1760.800
115,1755.700
116,1757.100
117,1764.100
118,1750.500
119,1766.100
120,1777.300
