 ,Value
1,2562.700
2,2598.600
3,2615.900
4,2646.600
5,2657.900
6,2676.900
7,2705.700
8,2723.700
9,2739.600
10,2756.700
11,2772.600
12,2797.000
13,2825.000
14,2831.700
15,2856.000
16,2852.600
17,2865.200
18,2878.700
19,2900.800
20,2925.500
21,2922.200
22,2924.100
23,2938.400
24,2941.700
25,2968.500
26,2974.000
27,2972.900
28,2980.800
29,2987.900
30,2984.500
31,2990.900
32,2987.800
33,2986.000
34,3022.600
35,2996.200
36,2981.000
37,2980.000
38,2972.800
39,2956.400
40,2922.400
41,2897.400
42,2869.000
43,2831.500
44,2813.100
45,2767.000
46,2717.000
47,2685.600
48,2623.100
49,2575.800
50,2502.200
51,2490.200
52,2429.600
53,2403.200
54,2361.800
55,2339.600
56,2311.500
57,2285.700
58,2266.500
59,2271.200
60,2277.500
61,2280.800
62,2275.500
63,2309.700
64,2325.500
65,2371.600
66,2395.700
67,2441.300
68,2497.000
69,2546.500
70,2586.800
71,2599.000
72,2676.300
73,2719.200
74,2771.100
75,2777.900
76,2834.500
77,2871.500
78,2900.000
79,2932.600
80,2967.500
81,2967.600
82,2995.900
83,2995.200
84,2984.200
85,3013.200
86,3010.500
87,3027.400
88,3035.200
89,3029.700
90,3023.900
91,3025.600
92,3018.400
93,3004.400
94,3007.600
95,2995.600
96,2995.500
97,3010.900
98,2981.200
99,2979.700
100,2987.300
101,2974.000
102,2965.700
103,2961.000
104,2961.000
105,2949.100
106,2933.100
107,2928.800
108,2906.500
109,2893.500
110,2894.400
111,2867.400
112,2845.100
113,2857.200
114,2835.700
115,2819.200
116,2810.800
117,2776.900
118,2757.900
119,2755.000
120,2731.300
